,project_group_id,project_name,num_workflows,num_workflows_prev,num_agents,num_agents_prev,num_submissions,num_submissions_prev,num_submissions_per_min,num_submissions_per_min_prev,avg_first_good_submission_rate,avg_first_good_submission_rate_prev,avg_rejection_rate,avg_rejection_rate_prev,avg_quality_score,avg_quality_score_prev,avg_rework_time,avg_rework_time_prev,num_workflows_movt,num_agents_movt,num_submissions_movt,num_submissions_per_min_movt,avg_first_good_submission_rate_movt,avg_rejection_rate_movt,avg_quality_score_movt,avg_rework_time_movt,is_missing
0,1477,UT_ZO,8,,8,,2089.0,,30385.454545454544,,99.88875,,0.0011061946902654867,,99.96875,,0.028750000000000005,,,,,,,,,,True
1,1032,Res EM,43,27,43,27,2599.0,768.0,405.4749292504173,50.31666302686176,97.1279069767442,99.77111111111113,0.02965624663751947,0.0021943316516959926,99.5954761904762,99.95185185185187,2.5365116279069766,0.018518518518518517,0.5925925925925926,0.5925925925925926,2.3841145833333335,7.058462244087069,-0.026492680144889775,12.514933631203032,-0.003565473323134457,135.97162790697675,False
2,1702,potato,1,,0,,76.0,,950.0,,100.0,,0.0,,,,0.0,,,,,,,,,,True
3,1477,MT_ZO_P,15,,15,,5896.0,,18777.070063694264,,99.52066666666666,,0.00473463127019387,,99.84866666666666,,0.07733333333333335,,,,,,,,,,True
4,1477,PC_MT_P,18,,18,,2308.0,,9335.730337078652,,100.0,,0.0,,100.0,,0.0,,,,,,,,,,True
5,1032,Flagging,6,10,6,10,223.0,20461.0,1045.3125,222402.1739130435,83.33333333333334,98.319,0.08333333333333333,0.016260221868497703,100.0,99.968,0.16999999999999998,0.032,-0.4,-0.4,-0.9891012169493182,-0.9952998998093935,-0.15241882715107619,4.124981319890968,0.00032010243277845387,4.312499999999999,False
6,1032,MS Potato,6,6,6,6,2890.0,2258.0,5055.39358600583,3848.863636363637,99.15833333333333,99.20666666666666,0.00838058919979544,0.007848825503009148,99.845,99.83166666666666,0.22166666666666668,0.3316666666666667,0.0,0.0,0.27989371124889284,0.31347692816212863,-0.0004871984409649756,0.06775073500900475,0.00013355815622967412,-0.3316582914572865,False
7,1032,Res General,10,,10,,12213.0,,45913.53383458647,,99.90200000000002,,0.0009777959818237033,,99.949,,0.06799999999999999,,,,,,,,,,True
8,1032,Res refinement,16,10,16,10,5904.0,4193.0,7044.295302013423,5267.587939698492,99.76375,99.63000000000001,0.002343648419857235,0.0036794930528649544,99.925625,99.89999999999999,0.12937500000000002,0.5770000000000001,0.6,0.6,0.4080610541378488,0.33729049854583476,0.0013424671283749075,-0.36305127195921566,0.00025650650650655777,-0.7757798960138648,False
9,87,WRT1 - API PTs,17,40,17,40,7596.0,11912.0,5832.520325203251,8543.66146673839,90.95000000000002,92.51775000000002,0.03154978519535067,0.048880970799892356,,,0.022941176470588236,0.0315,-0.575,-0.575,-0.3623237071860309,-0.3173277817818475,-0.016945396964366335,-0.3545589484196548,,-0.27170868347338933,False
10,1345,Coco - Rework A,211,139,211,139,3317.0,1770.0,60.659930593835306,29.239995436264564,98.26985781990524,93.90460431654675,0.01371765598323182,0.060173158646338494,,,25.796872037914703,23.412877697841722,0.5179856115107914,0.5179856115107914,0.8740112994350282,1.0745533536781107,0.046486043310969956,-0.7720303156452877,,0.10182406327150231,False
11,1272,DDT1 Production,5,2,5,2,1009.0,404.0,377.9026217228464,152.16572504708097,99.098,98.755,0.008930838661397203,0.012450980392156863,97.11,98.275,0.452,0.0,1.5,1.5,1.4975247524752475,1.4834937145399931,0.003473241861171622,-0.282720044517705,-0.011854489951666306,inf,False
12,1480,TOF5 - Delivery,52,31,52,31,13901.0,9780.0,6085.125010522771,3937.402597402598,86.42057692307692,70.48548387096774,0.05848666073096864,0.24732586872770784,,,0.07711538461538463,0.17806451612903226,0.6774193548387096,0.6774193548387096,0.4213701431492842,0.5454668045723771,0.22607623835398943,-0.7635238843723249,,-0.566924470457079,False
13,1208,WJD1 Production,18,11,18,11,509.0,309.0,23.914802537130328,14.306759828268373,100.0,100.0,0.0,0.0,,,0.0,0.0,0.6363636363636364,0.6363636363636364,0.6472491909385113,0.6715736354137756,0.0,,,,False
14,1032,Res ES SC Potato,10,,10,,1299.0,,622.7229146692233,,97.655,,0.022420991696766465,,99.69,,0.36200000000000004,,,,,,,,,,True
15,1476,DUT2 Training 2022,78,37,70,34,1670.0,660.0,85.55159300928025,23.00518134715026,88.06051282051283,78.43972972972973,0.11386212629901178,0.297294437193818,85.70242424242424,1.316,4.419358974358974,14.991081081081083,1.1081081081081081,1.0588235294117647,1.5303030303030303,2.7187967231511463,0.12265191534866653,-0.6170055269995498,64.12342267661415,-0.7052007823547659,False
16,1344,JSU2 Training 2022,243,43,243,43,9818.0,1283.0,950.0760610718645,136.63810184267888,99.97213991769551,100.0,0.0002774118664202296,0.0,,,0.02267489711934156,0.0,4.651162790697675,4.651162790697675,6.652377240841777,5.953229357399551,-0.00027860082304485443,inf,,inf,False
17,706,JWF7-R6 Production,19,16,19,16,2554.0,2596.0,807.9587079587079,819.7355437142292,99.35842105263158,99.605625,0.00639739273001626,0.003915361580421402,97.66866666666668,98.58375,1.6705263157894739,0.574375,0.1875,0.1875,-0.016178736517719568,-0.014366628171520152,-0.0024818271796238326,0.6339213118926611,-0.009282293819552553,1.9084244888608906,False
18,1208,WJD1 Production_QA,4,2,4,2,144.0,87.0,52.459016393442624,21.91435768261965,100.0,100.0,0.0,0.0,,,0.0,0.0,1.0,1.0,0.6551724137931034,1.3938194837007725,0.0,,,,False
