,project_group_id,project_group_name,num_workflows,num_workflows_prev,num_agents,num_agents_prev,num_submissions,num_submissions_prev,sumbission_rate_mins,sumbission_rate_mins_prev,avg_first_good_submission_rate,avg_first_good_submission_rate_prev,avg_rejection_rate,avg_rejection_rate_prev,avg_quality_score,avg_quality_score_prev,avg_rework_time,avg_rework_time_prev,num_workflows_movt,num_agents_movt,num_submissions_movt,sumbission_rate_mins_movt,avg_first_good_submission_rate_movt,avg_rejection_rate_movt,avg_quality_score_movt,avg_rework_time_movt,is_missing
29,1606,QUP1,4,2,4,4,112.0,75.0,2.45,1.02,29.63,30.3,0.39,0.42,73.83,56.46,5.95,8.82,1.0,0.0,0.49,1.42,-0.02,-0.07,0.31,-0.33,False
30,1165,Upskilling,4,5,17,10,155.0,57.0,7.73,5.51,86.21,100.0,0.0,0.0,100.0,,10.91,0.0,-0.2,0.7,1.72,0.4,-0.14,,,inf,False
31,1470,QSJ1,1,1,3,3,148.0,93.0,12.0,6.32,54.72,57.33,0.19,0.04,,99.2,2.66,1.04,0.0,0.0,0.59,0.9,-0.05,3.38,,1.54,False
32,1595,Training,3,3,85,114,131.0,168.0,0.42,0.42,99.24,99.4,0.0,0.01,98.0,,0.22,0.0,0.0,-0.25,-0.22,-0.01,-0.0,-1.0,,inf,False
33,1351,TBM4,4,3,17,15,265.0,162.0,2.02,1.0,96.97,96.78,0.0,0.03,,,10.85,0.0,0.33,0.13,0.64,1.01,0.0,-1.0,,inf,False
34,1330,Pat Test,1,1,0,0,3.0,33.0,3.28,41.25,0.0,16.67,0.25,0.54,55.0,50.0,1.1,0.78,0.0,nan,-0.91,-0.92,-1.0,-0.53,0.1,0.42,False
35,1731,XSL1,1,1,1,3,5.0,274.0,5.95,656.85,0.0,38.52,0.0,0.1,,100.0,0.84,0.12,0.0,-0.67,-0.98,-0.99,-1.0,-1.0,,5.76,False
36,1155,Demo,1,1,69,134,95.0,398.0,0.22,1.15,1.09,0.0,0.99,1.0,,81.87,277.11,66.66,0.0,-0.49,-0.76,-0.81,inf,-0.01,,3.16,False
37,1536,AGO3,3,3,160,119,395.0,211.0,0.39,0.2,73.57,35.77,0.11,0.31,97.49,95.76,225.43,804.0,0.0,0.34,0.87,0.98,1.06,-0.66,0.02,-0.72,False
39,817,New Image Annotation Demos,1,1,0,0,2.0,2.0,0.54,0.41,0.0,0.0,0.0,1.0,,,3.67,0.0,0.0,nan,0.0,0.34,,-1.0,,inf,False
40,1413,PSZ1,1,2,9,8,392.0,279.0,6.56,5.63,87.62,95.5,0.08,0.04,92.54,97.31,2.54,1.29,-0.5,0.12,0.41,0.17,-0.08,0.97,-0.05,0.97,False
